PlayerID,PlayerName,Team,TotalDuels,Wins,Win%,ArriveFirst%,FinalPtsPlayed,FinalPtsWon,TiebreakPlayed,TiebreakWon,NormNetMargin,Chokes_ArriveFirst_Losses,Win%_WhenNotArriveFirst,ClutchRating,ChokeRate_WhenArrivedFirst,Smoothed Clutch,Target Assassin Score,ArrivedFirst_Count,NotArrivedFirst_Count,Wins_WhenNotArriveFirst,ShrunkWin%_WhenNotArriveFirst,Losses_WhenArrivedFirst,ShrunkChokeRate_WhenArrivedFirst,Pressure-Weighted Avg Normalized Margin,Reliability,PowerRating,Adjusted PR
20,Ioanna Desylla,Eparxiotes,10,9,90.00%,60.00%,3,3,1,1,47.92%,0,66.67%,1,0.00%,72.00%,3,6,3,2,60.00%,0,12.50%,0.48,1,76.870,100.00
22,Manos Malliaros,Eparxiotes,14,11,78.57%,78.57%,1,1,1,1,35.23%,1,50.00%,1,9.09%,66.67%,1.818181818,11,2,1,50.00%,1,15.38%,0.36,1,71.892,93.52
13,Anastasia Stergiou,Eparxiotes,11,9,81.82%,27.27%,0,0,0,0,28.59%,0,71.43%,0,0.00%,50.00%,3.375,3,7,5,66.67%,0,20.00%,0.29,1,67.796,88.20
10,Mantisa Tsota,Athinaioi,14,10,71.43%,85.71%,2,1,1,0,34.35%,2,0.00%,0.2,16.67%,40.00%,2.7,12,1,0,33.33%,2,21.43%,0.31,1,65.779,85.57
19,Giorgos Polychros,Eparxiotes,10,7,70.00%,80.00%,0,0,0,0,17.12%,2,0.00%,0,25.00%,50.00%,2.5,8,1,0,33.33%,2,30.00%,0.17,1,62.451,81.24
23,Michalis Sifakis,Eparxiotes,10,7,70.00%,40.00%,0,0,0,0,11.06%,1,60.00%,0,25.00%,50.00%,1.333333333,4,5,3,57.14%,1,33.33%,0.11,1,60.425,78.61
1,Alexandros Kourtovik,Athinaioi,13,8,61.54%,46.15%,2,1,1,0,6.62%,0,33.33%,0.2,0.00%,40.00%,1.875,6,6,2,37.50%,0,12.50%,0.04,1,55.561,72.28
17,Fani Pantelaki,Eparxiotes,8,6,75.00%,50.00%,0,0,0,0,32.34%,0,50.00%,0,0.00%,50.00%,2.333333333,4,4,2,50.00%,0,16.67%,0.32,0.8,52.607,68.44
7,Giorgos Karaisalidis,Athinaioi,11,5,45.45%,54.55%,0,0,0,0,-8.81%,2,25.00%,0,33.33%,50.00%,2.2,6,4,1,33.33%,2,37.50%,-0.09,1,46.120,60.00
9,Kelly Bofiliou,Athinaioi,14,6,42.86%,42.86%,0,0,0,0,9.59%,2,28.57%,0,33.33%,50.00%,2.166666667,6,7,2,33.33%,2,37.50%,0.10,1,44.707,58.16
12,Vasiliki Mounti,Athinaioi,11,5,45.45%,63.64%,1,0,0,0,-4.47%,3,0.00%,0,42.86%,43.33%,4,7,3,0,20.00%,3,44.44%,-0.06,1,44.353,57.70
2,Dimitris Theodoropoulos,Athinaioi,12,5,41.67%,50.00%,0,0,0,0,8.88%,2,20.00%,0,33.33%,50.00%,1.6,6,5,1,28.57%,2,37.50%,0.09,1,44.297,57.63
4,Evelina Lykoudi,Athinaioi,14,5,35.71%,78.57%,2,0,0,0,-15.12%,7,0.00%,0,63.64%,40.00%,2,11,1,0,33.33%,7,61.54%,-0.17,1,42.776,55.65
5,Giannis Stinis,Athinaioi,17,7,41.18%,41.18%,1,0,0,0,-12.13%,3,22.22%,0,42.86%,43.33%,2.166666667,7,9,2,27.27%,3,44.44%,-0.13,1,40.193,52.29
21,Ioannis Revis,Eparxiotes,11,4,36.36%,45.45%,0,0,0,0,-6.15%,3,20.00%,0,60.00%,50.00%,2.333333333,5,5,1,28.57%,3,57.14%,-0.06,1,38.403,49.96
14,Christos Milonas,Eparxiotes,13,5,38.46%,15.38%,1,0,0,0,-15.58%,1,30.00%,0,50.00%,43.33%,1.75,2,10,3,33.33%,1,50.00%,-0.16,1,35.641,46.37
8,Giorgos Tsoukalas,Athinaioi,10,3,30.00%,30.00%,0,0,0,0,-10.21%,2,33.33%,0,66.67%,50.00%,2,3,6,2,37.50%,2,60.00%,-0.10,1,34.734,45.19
15,Dimitra Liaga,Eparxiotes,8,4,50.00%,25.00%,0,0,0,0,-19.29%,1,40.00%,0,50.00%,50.00%,1.333333333,2,5,2,42.86%,1,50.00%,-0.19,0.8,34.700,45.14
18,Foteini Kalevra,Eparxiotes,11,3,27.27%,36.36%,1,1,0,0,-38.90%,3,33.33%,0,75.00%,56.67%,2.666666667,4,6,2,37.50%,3,66.67%,-0.35,1,32.037,41.68
24,Stauros Floros,Eparxiotes,8,3,37.50%,37.50%,1,1,0,0,-32.16%,1,20.00%,0,33.33%,56.67%,2.666666667,3,5,1,28.57%,1,40.00%,-0.28,0.8,30.188,39.27
