,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuelID,ChallengeID,EpisodeID,PlayerID,OpponentID,Won,ArrivedFirst,Target MARGIN,TeamPoints_Before,OppPoints_Before,PointNo,IsFinalPoint,IsTiebreakRelay,RelayLeg,NormMargin_Red,NormMargin_Blue,PressureWeight,PW_NormMargin_Red,PW_NormMargin_Blue,RedWon,BlueWon,PropType,TargetType,PuzzlePhase,GameType,PuzzleChoke_Red,PuzzleChoke_Blue,TeamMatchID,RedTeamWin,BlueTeamWin,OpponentPower,Momments weighted difficulty ,weightedOpponentDifficulty,OpponentDifficulty,WinContribution,PlayerPower,BlueOpponentPower,BlueOpponentDifficulty,BlueWinContribution,BlueMomentsWeightedDifficulty,,,,,,,,
21,1,1,2,19,0,0,2,0,0,1,0,0,0,-0.20,0.2,1,-0.2,0.2,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,81.37931034,81.37931034,0,0,0,100,100,1.634215102,1.634215102,100,,,,,,,,
22,1,1,12,16,1,1,3,0,1,2,0,0,0,0.30,-0.3,1,0.3,-0.3,1,0,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,37.24137931,37.24137931,0,0,0,82.4137931,82.4137931,1.346818653,0,82.4137931,,,,,,,,
23,1,1,5,14,0,1,3,1,1,3,0,0,0,-0.30,0.3,1,-0.3,0.3,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,99.31034483,99.31034483,0,0,0,26.20689655,26.20689655,0.428277061,0.428277061,26.20689655,,,,,,,,
24,1,1,3,15,0,1,1,1,2,4,0,0,0,-0.10,0.1,1,-0.1,0.1,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,76.89655172,76.89655172,0,0,0,35.17241379,35.17241379,0.574792898,0.574792898,35.17241379,,,,,,,,
25,1,1,6,24,0,0,1,1,3,5,0,0,0,-0.10,0.1,1,-0.1,0.1,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,80.34482759,80.34482759,0,0,0,21.37931034,21.37931034,0.349383918,0.349383918,21.37931034,,,,,,,,
26,1,1,9,13,0,1,3,1,4,6,0,0,0,-0.30,0.3,1,-0.3,0.3,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,78.96551724,78.96551724,0,0,0,26.20689655,26.20689655,0.428277061,0.428277061,26.20689655,,,,,,,,
27,1,1,7,23,0,1,1,1,5,7,0,0,0,-0.10,0.1,1,-0.1,0.1,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,76.89655172,76.89655172,0,0,0,28.27586207,28.27586207,0.462088408,0.462088408,28.27586207,,,,,,,,
28,1,1,4,17,0,1,7,1,6,8,0,0,0,-0.70,0.7,1,-0.7,0.7,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,83.10344828,83.10344828,0,0,0,22.06896552,22.06896552,0.360654367,0.360654367,22.06896552,,,,,,,,
29,1,1,1,21,1,0,2,1,7,9,0,0,0,0.20,-0.2,1,0.2,-0.2,1,0,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,27.24137931,27.24137931,0,0,0,77.93103448,77.93103448,1.273560735,0,77.93103448,,,,,,,,
30,1,1,10,16,1,1,1,2,7,10,0,0,0,0.10,-0.1,1,0.1,-0.1,1,0,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,37.24137931,37.24137931,0,0,0,80.34482759,80.34482759,1.313007306,0,80.34482759,,,,,,,,
31,1,1,8,22,0,0,2,3,7,11,0,0,0,-0.20,0.2,1,-0.2,0.2,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,81.37931034,81.37931034,0,0,0,20.34482759,20.34482759,0.332478245,0.332478245,20.34482759,,,,,,,,
32,1,1,3,20,0,0,10,3,8,12,0,0,0,-1.00,1,1,-1,1,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,89.65517241,89.65517241,0,0,0,35.17241379,35.17241379,0.574792898,0.574792898,35.17241379,,,,,,,,
33,1,1,2,14,1,1,2,3,9,13,0,0,0,0.20,-0.2,1,0.2,-0.2,1,0,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,0,99.31034483,99.31034483,0,0,0,100,100,1.634215102,0,100,,,,,,,,
34,1,1,11,18,0,0,4,4,9,14,1,0,0,-0.40,0.4,1.5,-0.6,0.6,0,1,Sand_bags,KNOCK_DOWN,NONE,Immunity,0,0,1-Immunity-1,0,1,83.44827586,125.1724138,0,0,0,18.27586207,18.27586207,0.298666898,0.448000347,27.4137931,,,,,,,,
