PlayerID,PlayerName,Team,TotalDuels,Wins,Win%,ArriveFirst%,FinalPtsPlayed,FinalPtsWon,TiebreakPlayed,TiebreakWon,NormNetMargin,Chokes_ArriveFirst_Losses,Win%_WhenNotArriveFirst,ClutchRating,ChokeRate_WhenArrivedFirst,Smoothed Clutch,Target Assassin Score,ArrivedFirst_Count,NotArrivedFirst_Count,Wins_WhenNotArriveFirst,ShrunkWin%_WhenNotArriveFirst,Losses_WhenArrivedFirst,ShrunkChokeRate_WhenArrivedFirst,Pressure-Weighted Avg Normalized Margin,Reliability,PowerRating,Adjusted PR, Opponent Difficulty,Norm Opp Diff,PressureAdjWin%,Column1,PressureWeightedOpponentDifficulty,EliminatedEpisode
20,Ioanna Desylla,Eparxiotes,12,10,83.33%,58.33%,2,2,1,1,43.40%,0,50.00%,1,0.00%,70.00%,3,7,4,2,50.00%,0,11.11%,0.46,1,73.904,100.00,60.49437396,0.982328965,0.822882671,1.25,62.57945527,
22,Manos Malliaros,Eparxiotes,17,13,76.47%,76.47%,1,1,1,1,26.56%,1,33.33%,1,7.69%,66.67%,1.769230769,13,3,1,40.00%,1,13.33%,0.28,1,67.688,91.59,65.50582206,1.063706626,0.77536295,1.25,66.31388122,
10,Mantisa Tsota,Athinaioi,18,13,72.22%,83.33%,2,1,1,0,37.36%,2,0.00%,0.2,13.33%,40.00%,2.923076923,15,2,0,25.00%,2,17.65%,0.34,1,63.351,85.72,67.83850868,1.101585613,0.607200792,1.25,68.81030029,
17,Fani Pantelaki,Eparxiotes,10,7,70.00%,50.00%,0,0,0,0,26.70%,0,40.00%,0,0.00%,50.00%,2.142857143,5,5,2,42.86%,0,14.29%,0.27,1,63.813,86.35,64.59994316,1.048996645,0.601919816,1.25,64.59994316,
14,Christos Milonas,Eparxiotes,17,6,35.29%,11.76%,2,0,0,0,-22.21%,1,28.57%,0,50.00%,40.00%,2,2,14,4,31.25%,1,50.00%,-0.24,1,35.322,47.79,59.57050821,0.967326908,0.297412064,1.25,60.38464226,
1,Alexandros Kourtovik,Athinaioi,17,11,64.71%,47.06%,2,1,1,0,9.47%,0,37.50%,0.2,0.00%,40.00%,1.818181818,8,8,3,40.00%,0,10.00%,0.07,1,59.161,80.05,64.63229156,1.04952193,0.5183137,1.25,65.63435214,
23,Michalis Sifakis,Eparxiotes,12,8,66.67%,41.67%,0,0,0,0,7.13%,1,50.00%,0,20.00%,50.00%,1.571428571,5,6,3,50.00%,1,28.57%,0.07,1,59.939,81.10,60.34485666,0.979901051,0.678673282,1.25,60.34485666,
12,Vasiliki Mounti,Athinaioi,15,8,53.33%,66.67%,2,1,0,0,-1.61%,3,0.00%,0,30.00%,50.00%,3.142857143,10,4,0,16.67%,3,33.33%,-0.01,1,47.234,63.91,67.20962514,1.091373581,0.438401694,1.25,65.56971037,
19,Giorgos Polychros,Eparxiotes,13,7,53.85%,84.62%,0,0,0,0,0.99%,5,0.00%,0,45.45%,50.00%,2.5,11,1,0,33.33%,5,46.15%,0.01,1,50.612,68.48,60.82814729,0.987748894,0.506867555,1.25,60.82814729,
3,Elisavet Sekertzi,Athinaioi,7,2,28.57%,14.29%,0,0,0,0,-28.21%,1,33.33%,0,100.00%,50.00%,4.5,1,6,2,37.50%,1,66.67%,-0.28,0.7,22.108,29.91,66.88269395,1.086064757,0.199816533,1.25,66.88269395,1
2,Dimitris Theodoropoulos,Athinaioi,16,8,50.00%,50.00%,1,1,0,0,17.08%,2,28.57%,0,25.00%,56.67%,2,8,7,2,33.33%,2,30.00%,0.19,1,50.550,68.40,67.24496978,1.09194752,0.475811314,1.25,66.65557142,
7,Giorgos Karaisalidis,Athinaioi,14,8,57.14%,57.14%,0,0,0,0,3.20%,2,40.00%,0,25.00%,50.00%,2.25,8,5,2,42.86%,2,30.00%,0.03,1,54.463,73.69,67.68340086,1.099066918,0.538768472,1.25,67.68340086,
5,Giannis Stinis,Athinaioi,18,7,38.89%,44.44%,1,0,0,0,-14.23%,4,22.22%,0,50.00%,43.33%,2.166666667,8,9,2,27.27%,4,50.00%,-0.15,1,38.691,52.35,65.75537058,1.067758883,0.371843246,1.25,65.57241506,11
24,Stauros Floros,Eparxiotes,11,5,45.45%,45.45%,1,1,0,0,-15.05%,1,16.67%,0,20.00%,56.67%,2.6,5,6,1,25.00%,1,28.57%,-0.13,1,43.593,58.99,60.54117066,0.983088867,0.382050102,1.25,60.18513228,
15,Dimitra Liaga,Eparxiotes,12,5,41.67%,25.00%,0,0,0,0,-28.13%,2,37.50%,0,66.67%,50.00%,1.25,3,8,3,40.00%,2,60.00%,-0.28,1,39.187,53.02,57.10233071,0.927247772,0.428996472,1.25,57.10233071,
9,Kelly Bofiliou,Athinaioi,18,7,38.89%,44.44%,0,0,0,0,2.83%,4,33.33%,0,50.00%,50.00%,2,8,9,3,36.36%,4,50.00%,0.03,1,42.278,57.21,63.75963676,1.035351454,0.259621243,1.25,63.75963676,
18,Foteini Kalevra,Eparxiotes,15,4,26.67%,26.67%,2,1,0,0,-35.75%,3,30.00%,0,75.00%,50.00%,2.25,4,10,3,33.33%,3,66.67%,-0.34,1,29.951,40.53,59.83678371,0.971650783,0.233168882,1.25,58.70065878,12
13,Anastasia Stergiou,Eparxiotes,13,10,76.92%,30.77%,0,0,0,0,28.68%,0,62.50%,0,0.00%,50.00%,3.333333333,4,8,5,60.00%,0,16.67%,0.29,1,69.355,93.84,64.63999171,1.049646968,0.742986766,1.25,64.63999171,
6,Gio Karantonis,Athinaioi,4,2,50.00%,0.00%,0,0,0,0,16.25%,0,50.00%,0,Never arrived first,50.00%,1,0,4,2,50.00%,0,Never Arrived First,0.16,0.4,19.650,26.59,58.42893074,0.94878957,0.551520409,1.25,58.42893074,13
16,Eleni Zaraga,Eparxiotes,18,5,27.78%,16.67%,2,1,0,0,-37.47%,1,21.43%,0,33.33%,50.00%,1.2,3,14,3,25.00%,1,40.00%,-0.37,1,30.608,41.42,65.03066435,1.055990848,0.215788238,1.25,65.54570125,8
8,Giorgos Tsoukalas,Athinaioi,14,4,28.57%,28.57%,0,0,0,0,-11.46%,2,22.22%,0,50.00%,50.00%,2.5,4,9,2,27.27%,2,50.00%,-0.11,1,33.594,45.46,67.01074484,1.088144092,0.211525002,1.25,67.01074484,
11,Stauroula Potiri,Athinaioi,5,1,20.00%,40.00%,1,0,0,0,-10.50%,1,0.00%,0,50.00%,43.33%,2,2,3,0,20.00%,1,50.00%,-0.13,0.5,14.341,19.40,64.2621658,1.043511697,0.155232187,1.25,62.10438516,4
4,Evelina Lykoudi,Athinaioi,17,8,47.06%,76.47%,1,0,0,0,-3.63%,7,50.00%,0,53.85%,43.33%,2.142857143,13,2,1,50.00%,7,53.33%,-0.06,1,49.029,66.34,65.09951733,1.057108907,0.361105181,1.25,66.09667398,14
21,Ioannis Revis,Eparxiotes,13,4,30.77%,46.15%,0,0,0,0,-10.33%,4,16.67%,0,66.67%,50.00%,2.333333333,6,6,1,25.00%,4,62.50%,-0.10,1,33.871,45.83,66.52929076,1.080326071,0.293712227,1.25,66.52929076,
